title,authors,year,citationCount,abstract,keywords
Supporting compositional reuse in component-based Web engineering,"['M. Gaedke', 'Jörn Rehse']",2000,33,"The World Wide Web’s anticipated scope as an environment for knowledge exchange has changed dramatically. Without major modifications to its primary mechanisms the Web has turned into a platform for distributed applications. The originally simple and well-defined coarse-grained implementation model of the Web now hinders Web application development. Fine-grained development artifacts, design patterns, and other well-established Software Engineering methods are hard to reuse in the Web after they have found their way into implementation resources. The application of Software Engineering practice to development for the Web, which is also referred to as Web Engineering, and especially the systematic reuse of components for Web-application development at low-costs is a main goal to achieve. This paper explains how the object-oriented and component-based WebComposition Markup Language (WCML) addresses these problems. A systematic approach to code reuse is presented with the WebComposition Repository, which is an essential tool for retrieval and classification of large component sets. The Repository’s architecture is crafted to support multiple representation and classification approaches. It facilitates reuse in component-based Web Engineering.","['Web', 'reuse', 'Engineering', 'development', 'application']"
Web content delivery to heterogeneous mobile platforms,"['M. Gaedke', 'M. Beigl', 'H. Gellersen', 'Christian Segor']",1998,47,"It is widely acknowledged that information such as web content should be adapted for mobile platforms to account for restrictions in mobile environments. As emerging mobile platforms such as different kinds of Personal Digital Assistant (PDA) tend to vary largely in their capabilities, we suggest that adaptation should be platform-specific. Common approaches for content adaptation are automated conversion and explicit specification of adapted content, with a trade-off between quality and development/maintenance effort. As alternative avoiding this trade-off, we propose a simple object-oriented framework for content adaptation. To facilitate the use of this framework in the Web, we base our approach on the object-oriented WebComposition model and its XML-based implementation WCML. We apply our object-oriented approach to an example application to demonstrate how object-oriented specification of platform-adapted content reduces development/maintenance effort.","['objectoriented', 'approach', 'content', 'specification', 'platform', 'effort', 'mobile', 'adaptation']"
End-user-oriented telco mashups: the omelette approach,"['Olexiy Chudnovskyy', 'T. Nestler', 'M. Gaedke', 'F. Daniel', 'José Ignacio Fernández-Villamor', 'V. Chepegin', 'J. A. Fornas', 'Scott Wilson', 'Christoph Kögler', 'Heng Chang']",2012,42,"With the success of Web 2.0 we are witnessing a growing number of services and APIs exposed by Telecom, IT and content providers. Targeting the Web community and, in particular, Web application developers, service providers expose capabilities of their infrastructures and applications in order to open new markets and to reach new customer groups. However, due to the complexity of the underlying technologies, the last step, i.e., the consumption and integration of the offered services, is a non-trivial and time-consuming task that is still a prerogative of expert developers. Although many approaches to lower the entry barriers for end users exist, little success has been achieved so far. In this paper, we introduce the OMELETTE project and show how it addresses end-user-oriented telco mashup development. We present the goals of the project, describe its contributions, summarize current results, and describe current and future work.","['Web', 'developer', 'provider', 'service', 'success', 'application']"
Object-oriented web engineering for large-scale web service management,"['M. Gaedke', 'H. Gellersen', 'A. Schmidt', 'Ulf Stegemüller', 'Wolfgang Kurr']",1999,32,"The Web implementation model is based on a low level technology and does not provide abstractions for capturing higher level design concepts, therefore design decisions are difficult to track in an implementation, so that maintenance becomes a difficult and error-prone task. We introduce the WebComposition system addressing this problem. This system is based on a fine-grained object-oriented Web application model. Services are logical units or business processes represented as groups of WebComposition components. The automatic creation for this class of components is possible using service factories, which are modeled on creational design patterns. Service factories enhance the planning for the evolution of the overall structure of large-scale Web sites. WebComposition maintains access to all resources throughout the lifecycle for management and maintenance activities. Modifications of the model are made effective in the Web by incrementally mapping the model to file-based resources.","['design', 'model', 'maintenance', 'resource', 'component', 'Web', 'WebComposition', 'level']"
WCML: Paving the way for reuse in object-oriented web engineering,"['M. Gaedke', 'Christian Segor', 'H. Gellersen']",2000,38,"Since 1990 the Web has changed from a distributed hypertext system to an efficient environment for application delivery. Due to the legacy of the Web implementation model the development, management, and evolution of complex Web applications suffer from the coarse-grained model-entities. The demands can not be achieved without the application of programming technology and software engineering practice to applications in the Web, which is also referred to as Web Engineering. It has been recognized that the gap between design models and the implementation model of the Web leads to a development process that is hard to maintain, because fine-grained design entities get lost in the coarse-grained implementation model. Therefore, the coarse-grained implementation model hinders the maintenance and reuse of parts of an application. In this paper, the impacts on Web Engineering due to the coarse-grained Web implementation model are discussed and typical solutions that are related to the above problems are introduced. Then, the object-oriented WebComposition Markup Language will be presented as basis for a generic approach to component-based Web-application development.","['Web', 'model', 'implementation', 'application', 'coarsegrained', 'development']"
Web composition with WCAG in mind,"['V. L. Centeno', 'C. D. Kloos', 'M. Gaedke', 'M. Nussbaumer']",2005,23,"Accessibility should be a part of the Web design process instead of being a post-design repair process. Thus, it should be more integrated within the internal authoring tools' mechanism of generating new accessible Web contents. Web pages are usually composed of small pieces of HTML code which, dynamically nested and combined, generate full Web pages. This Web composition, specially when creating Web pages from data extracted from heterogeneous or external sources, should have accessibility into account in order to guarantee that the final page being constructed is accessible. This paper presents the set of rules that, in a Web composition process, a design tool must follow in order to create accessible Web pages. These rules are formalized with W3C standards like XPath and XQuery expressions. We also present WSLS as an accessibility enabled authoring tool that makes this task feasible, and focus in how this tool incorporates accessibility into the process of generating new Web contents.","['Web', 'process', 'accessibility', 'rule', 'generating', 'authoring', 'composition', 'tool', 'accessible', 'design']"
Ensuring web interface quality through usability-based split testing,"['Maximilian Speicher', 'A. Both', 'M. Gaedke']",2014,23,"Usability is a crucial quality aspect of web applications, as it guarantees customer satisfaction and loyalty. Yet, effective approaches to usability evaluation are only applied at very slow iteration cycles in today’s industry. In contrast, conversion-based split testing seems more attractive to e-commerce companies due to its more efficient and easy-to-deploy nature. We introduce Usability-based Split Testing as an alternative to the above approaches for ensuring web interface quality, along with a corresponding tool called WaPPU. By design, our novel method yields better effectiveness than using conversions at higher efficiency than traditional evaluation methods. To achieve this, we build upon the concept of split testing but leverage user interactions for deriving quantitative metrics of usability. From these interactions, we can also learn models for predicting usability in the absence of explicit user feedback. We have applied our approach in a split test of a real-world search engine interface. Results show that we are able to effectively detect even subtle differences in usability. Moreover, WaPPU can learn usability models of reasonable prediction quality, from which we also derived interaction-based heuristics that can be instantly applied to search engine results pages.","['engine', 'usability']"
WCML: An enabling technology for the reuse in object-oriented Web Engineering,"['Guntram Graef', 'M. Gaedke']",2000,19,"Abstract: The centralized delivery-mechanism of the Web enables the construction of Web applications personalized for each user by using behavior analysis. Current technologies suffer from the Web’s legacy and use Log file-analysis or collaborative filtering only to adapt the content to users’ needs. Motivated by the results of collaborative filtering algorithms, we describe a construction approach based on the abstract concept of services. To support the fine-grained concept we use the component-based WebComposition Markup Language to support reuse and seamless evolution of Web applications.","['concept', 'filtering', 'collaborative', 'user', 'support', 'application', 'Web', 'construction']"
Automatic Knowledge Extraction to Build Semantic Web of Things Applications.,"['Mahda Noura', 'A. Gyrard', 'Sebastian Heil', 'M. Gaedke']",2019,22,"The Internet of Things (IoT) primary objective is to make a hyper-connected world for various application domains. However, IoT suffers from a lack of interoperability leading to a substantial threat to the predicted economic value. Schema.org provides semantic interoperability to structure heterogeneous data on the Web. An extension of this vocabulary for the IoT domain (iot.schema.org) is an ongoing research effort to address semantic interoperability for the Web of Things (WoT). To design this vocabulary, a central challenge is to identify the main topics (concepts and properties) automatically from existing knowledge in IoT applications. We designed knowledge extraction for the WoT (KE4WoT) to automatically identify the most important topics from literature ontologies of three different IoT application domains: 1) smart home; 2) smart city; and 3) smart weather—based on our corpus consisting of 4500 full-text conference and journal articles to utilize domain-specific knowledge encoded within IoT publications. Despite the importance of automatically identifying the relevant topics for iot.schema.org, up to know there is no study dealing with this issue. To evaluate the extracted topics, we compare the descriptiveness of these topics for the ten most popular ontologies in the three domains with empirical evaluations of 23 domain experts. The results illustrate that the identified main topics of IoT ontologies can be used to sufficiently describe existing ontologies as keywords.","['ontology', 'IoT', 'domain', 'topic', 'main', 'existing', 'keywords', 'empirical', 'expert', '23', 'evaluation', 'illustrate', 'identified']"
Complementary assistance mechanisms for end user mashup composition,"['Soudip Roy Chowdhury', 'Olexiy Chudnovskyy', 'Matthias Niederhausen', 'S. Pietschmann', 'P. Sharples', 'F. Daniel', 'M. Gaedke']",2013,26,"Despite several efforts for simplifying the composition process, learning efforts required for using existing mashup editors to develop mashups remain still high. In this paper, we describe how this barrier can be lowered by means of an assisted development approach that seamlessly integrates automatic composition and interactive pattern recommendation techniques into existing mashup platforms for supporting easy mashup development by end users. We showcase the use of such an assisted development environment in the context of an open-source mashup platform Apache Rave. Results of our user studies demonstrate the benefits of our approach for end user mashup development.","['platform', 'approach', 'mashup', 'user', 'assisted', 'development', 'effort', 'existing', 'composition']"
A repository to facilitate reuse in component-based web engineering,"['M. Gaedke', 'Joern Rehse']",1999,12,"The World Wide Web has become a platform for distributed applications of all kinds. Its originally anticipated scope has changed dramatically but without major changes to the primary mechanisms. Web application development suffers increasingly from the coarse-grained implementation model of the Web, as established software design concepts are hardly applicable to it. The object-oriented WebComposition Markup Language (WCML) addresses these problems with a fine-grained componentbased model and thus supports the application of software engineering practice to applications in the Web. In this paper, we introduce the WebComposition Repository as a key tool for a systematic approach to code reuse. The repository is used for storing, managing, and retrieving large numbers of WCML components. Consequently, it facilitates reuse in component-based Web Engineering.","['Web', 'WebComposition', 'WCML', 'model', 'software', 'reuse', 'componentbased', 'application']"
WSLS: An Agile System Facilitating the Production of Service-Oriented Web Applications.,"['M. Gaedke', 'M. Nussbaumer', 'J. Meinecke']",2004,18,"The process of application evolution in the Web poses a tremendous challenge for Web Engineering. Changing requirements demand solutions providing flexibility beyond mere adaptation on the surface. The shift towards agile systems results in advantages noticeable during the whole application lifecycle. By enabling a reconfigurable composition of the overall system, a reduction of development and maintenance cost can be achieved. In this paper we introduce the WebComposition Service Linking System (WSLS) that provides an agile approach to the Web application life-cycle. WSLS is a component-based system, which applies the service-oriented paradigm. It supports issues of composing, discovering and reusing services. Services are maintainable, manageable and configurable building blocks – as such they are a unit for reuse and for composition of Web applications. Evolution of the composed services is supported and guided in a systematic way by the underlying WSLS framework.","['Web', 'application', 'lifecycle', 'WSLS']"
Generic Web-Based Federation of Business Application Systems for E-Commerce Applications.,"['M. Gaedke', 'K. Turowski']",1999,20,"Offering Web-based products often requires that services of different application systems can be combined to a new product that hides the respective fine-grained services and application systems from the customer thus federating these application systems. Moreover, communication between (legacy) business application systems federated to “produce” a given product has to be ensured on a semantic level. To support this scenario, we introduce a generic federation layer that uses an object-oriented approach as well as the WebComposition Markup Language to facilitate the reuse of code and design. In addition, we show how a semantic inter-application communication can be provided by means of a second basic federation layer.","['layer', 'federation', 'semantic', 'application', 'system', 'product', 'service', 'communication']"
From mashups to telco mashups: A survey,"['Hendrik Gebhardt', 'M. Gaedke', 'F. Daniel', 'S. Soi', 'F. Casati', 'C. Iglesias', 'Scott Wilson']",2012,16,"Given their increasing popularity and novel requirements and characteristics, telco mashups deserve an analysis that goes beyond what's available for mashups in general. Here, the authors cluster telco services into different types, analyze their features, derive a telco mashup reference architecture, and survey how well existing mashup tools can respond to these mashups' novel needs.","['mashup', 'analyze', 'characteristic', 'architecture', 'feature', 'tool', 'cluster', 'telco', 'mashups', 'survey', 'popularity', 'general', 'derive', 'service', 'analysis', 'type', 'author', 'existing', 'increasing', 'respond', 'requirement', 'deserve', 'reference']"
MockAPI: an agile approach supporting API-first web application development,"['J. Rivero', 'Sebastian Heil', 'J. Grigera', 'M. Gaedke', 'G. Rossi']",2013,17,"In the last years, agile development methodologies have been widely adopted. However, they still lack support for API requirements while, at the same time, public RESTful APIs are fueling a rapid growth of web applications providing services built on other services. On the other hand, whereas Model-Driven Development techniques successfully increase the productivity in the development of data-intensive web applications, they lack the agility required when developing heterogeneous web applications with frequent requirement changes. In this paper we introduce MockAPI, an approach based on annotating user interface mockups that combines the advantages of agile approaches and Model-Driven Development. We introduce a metamodel for annotations and demonstrate how to derive running API prototypes as starting point for agile development. RESTful API best practices and API-first development are introduced into the agile process. The MockAPI approach defines a set of constraints to accelerate the development of web applications. We also show the results of a brief validation applying MockAPI to popular web sites.","['agile', 'MockAPI', 'web', 'application', 'approach', 'API', 'development', 'lack', 'introduce', 'requirement']"
"Interoperability in internet of things infrastructure: Classification, challenges, and future work","['Mahda Noura', 'Mohammed Atiquzzaman', 'M. Gaedke']",2017,17,"The Internet of Things (IoT) is an important research area, and substantial developments for a wide range of devices and IoT platforms is evident. However, one of the critical issues in IoT is that the different proprietary IoT platforms and systems are still not interoperable; unable to talk with each other. In this paper, we survey the state-of-the-art on interoperability in IoT. First, we provide a classification of techniques and schemes looking at IoT interoperability from different perspectives. For each category, we present the approaches proposed in the papers. Second, we use the interoperability classification as a baseline to compare some of the existing IoT research projects and identify gaps in the existing solutions. Our findings will help domain experts and professionals to get an overview and categorization of existing interoperability solutions in IoT and select an appropriate approach to help increase the number of interoperable IoT products.","['IoT', 'existing', 'approach', 'interoperable', 'solution', 'interoperability', 'classification', 'platform', 'paper']"
Exploiting annotations for the rapid development of collaborative web applications,"['M. Heinrich', 'Franz Josef Grüneberger', 'T. Springer', 'M. Gaedke']",2013,14,"Web application frameworks are a proven means to accelerate the development of interactive web applications. However, implementing collaborative real-time applications like Google Docs requires specific concurrency control services (i.e. document synchronization and conflict resolution) that are not included in prevalent general-purpose frameworks like jQuery or Knockout. Hence, developers have to get familiar with specific collaboration frameworks (e.g. ShareJS) which substantially increases the development effort. To ease the development of collaborative web applications, we propose a set of source code annotations representing a lightweight mechanism to introduce concurrency control services into mature web frameworks. Those annotations are interpreted at runtime by a dedicated collaboration engine to sync documents and resolve conflicts. We enhanced the general-purpose framework Knockout with a collaboration engine and conducted a developer study comparing our approach to a traditional concurrency control library. The evaluation results show that the effort to incorporate collaboration capabilities into a web application can be reduced by up to 40 percent using the annotation-based solution.","['application', 'web', 'concurrency', 'framework', 'collaboration', 'control', 'development']"
Reusable awareness widgets for collaborative web applications–a non-invasive approach,"['M. Heinrich', 'Franz Josef Grüneberger', 'T. Springer', 'M. Gaedke']",2012,20,"Creating awareness about other users' activities in a shared workspace is crucial to support efficient collaborative work. Even though the development of awareness widgets such as participant lists, telepointers or radar views is a costly and complex endeavor, awareness widget reuse is largely neglected. Collaborative applications either integrate specific awareness widgets or leverage existing awareness toolkits which require major source code adaptations and thus, are not suited to rapidly enrich existing web applications. 
 
Therefore, we propose a generic awareness infrastructure promoting an accelerated, cost-efficient development of awareness widgets as well as a non-invasive integration of awareness support into existing web applications. To validate our approach, we demonstrate the integration of three developed awareness widgets in four collaborative web editors. Furthermore, we expose insights about the development of reusable awareness widgets and discuss the limitations of the devised awareness infrastructure.","['awareness', 'application', 'web', 'existing', 'development', 'widget', 'collaborative']"
Integrating Web-based e-commerce applications with business application systems,"['M. Gaedke', 'K. Turowski']",2000,10,"The World Wide Web has become an environment for distributed applications of all kinds. The originally intended use of the Web as distributed system for knowledge-interchange seems to disappear, compared to the increasing number of electronic commerce Web applications. Organizations offer products and services in the Web, and use the Web as a means to integrate their (heterogeneous) business application systems. Offering Web-based products requires combining services of different application systems, which were built on the coarse-grained Web implementation model. Reusing the respective fine-grained services and application systems respectively integrating these cross-platform application systems increases quality and reduces costs of the new product. However, communication between (legacy) business application systems has to be ensured on an abstract level to realize this scenario. The Web as a global point of sale seems to be very promising but obviously suffers from its heritage – the coarse-grained implementation model. We introduce a generic integration layer that uses an object-oriented approach as well as the WebComposition Markup Language to facilitate the reuse of code and design, and show how inter-application communication can be provided by means of an additional basic integration layer.","['Web', 'system', 'application', 'product', 'layer', 'implementation', 'model']"
Application of evolutionary algorithms in interaction design: from requirements and ontology to optimized web interface,"['M. Bakaev', 'M. Gaedke']",2016,11,"The paper is dedicated to automated and semi-automated engineering of human-machine interfaces through artificial evolution: the state-of-art, the notable problems, and the preposition of a potentially feasible evolutionary algorithm. The A/B Testing method is already widely used in web interaction design, but it utilizes a single measurable goal and therefore risks random undirected modifications in the interface `phenotype', since its `genotype' is not distinguished. Also, purely interactive assessment of the potentially defective solutions' fitness by real users is undesirable, so the neural networks-based Kansei Engineering (KE) method is increasingly used for fitness evaluation. We reason that KE can be extended to consider any kinds of requirements, not just the emotional aspect, and outline the relevant techniques. Further, as an interface abstract model corresponds to a genotype, we propose a dedicated domain ontology to represent the genome, i.e. the structure of the design space. Finally, we summarize the combination of several existing AI and design methods in an evolutionary algorithm that may be used for automated development and improvement of web user interfaces in the coming era of the Big Interaction.","['method', 'design', 'interface']"
TellMyRelevance! predicting the relevance of web search results from cursor interactions,"['Maximilian Speicher', 'A. Both', 'M. Gaedke']",2013,18,"It is crucial for the success of a search-driven web application to answer users' queries in the best possible way. A common approach is to use click models for guessing the relevance of search results. However, these models are imprecise and waive valuable information one can gain from non-click user interactions. We introduce TellMyRelevance!---a novel automatic end-to-end pipeline for tracking cursor interactions at the client, analyzing these and learning according relevance models. Yet, the models depend on the layout of the search results page involved, which makes them difficult to evaluate and compare. Thus, we use a Random Mouse Cursor as an extension to our pipeline for generating layout-dependent baselines. Based on these, we can perform evaluations of real-world relevance models. A large-scale interaction log analysis showed that we can learn relevance models whose predictions compare favorably to predictions of an existing state-of-the-art click model.","['model', 'relevance', 'interaction', 'prediction', 'click', 'compare', 'user', 'pipeline']"
Data binding for standard-based web applications,"['M. Heinrich', 'M. Gaedke']",2012,10,"Development frameworks have proven to drive developer productivity and flourish in a variety of different application domains. For example, data binding frameworks supporting the process of associating User Interface (UI) elements and data objects can reduce implementation efforts significantly. Even so desktop application developers have access to a myriad of data binding frameworks (e.g. Eclipse JFace); Web development still lacks decent data binding framework support.
 Therefore, we devised a WebSocket-based Data-binding (WebSoDa) framework which is capable of easing the cumbersome and error-prone task of coupling UI elements with their respective data objects. Besides providing a Microdata-based data binding language, the WebSoDa framework embraces the WebSocket protocol. We show that the network traffic in data binding scenarios can decrease considerably by applying a WebSocket-based framework instead of a conventional AJAX approach.","['framework', 'data', 'binding', 'WebSoDa', 'UI', 'developer', 'WebSocketbased', 'object', 'application']"
Integration of telco services into enterprise mashup applications,"['Olexiy Chudnovskyy', 'Frank Weinhold', 'Hendrik Gebhardt', 'M. Gaedke']",2011,13,"In this paper we present our approach to integrate telco services into enterprise mashup applications. We show how cross-network integration and multi-user-oriented mashup concept support execution and orchestration of business processes. We identify the main classes of telco services and provide a reference architecture for telco-enabled mashup applications. Finally, we describe our approach for systematic integration process and give an outlook into our further research.","['telco', 'process', 'integration', 'execution', 'Finally', 'outlook', 'multiuseroriented', 'main', 'enterprise', 'telcoenabled', 'mashup', 'service', 'application', 'paper', 'class', 'identify', 'crossnetwork', 'business', 'concept', 'reference', 'approach', 'support', 'architecture', 'provide', 'systematic', 'integrate']"
WCAG formalization with W3C standards,"['V. L. Centeno', 'C. D. Kloos', 'M. Gaedke', 'M. Nussbaumer']",2005,9,"Web accessibility consists on a set of checkpoints which are rather expensive to evaluate or to spot. However, using W3C technologies, this cost can be clearly minimized. This article presents a W3C formalized rule-set version for automatable checkpoints from WCAG 1.0.","['set', '10', 'accessibility', 'present', 'technology', 'cost', 'WCAG', 'checkpoint', 'W3C', 'spot', 'expensive', 'minimized', 'formalized', 'ruleset', 'evaluate', 'consists', 'article', 'Web', 'version', 'automatable']"
Practical Web data extraction: are we there yet?-a short survey,"['Andreas Schulz', 'Jörg Lässig', 'M. Gaedke']",2016,11,"The number of web documents as well as the inherent data and information is growing at a rapid pace. The interest in extracting and utilizing this data is rising likewise. The prospects that are unlocked by Web Data Extraction to its users are as broad as the extensiveness of topics and fields on the Web. The major obstacle is to utilize the available data, contents and processes. Several, mostly older survey papers have already shown developments and approaches to solve Web Data Extraction tasks, but there is a need for a more up-to-date review, showing the latest developments. Additionally when looking from the user perspective, there is still a gap between research results and practical applicability. Available solutions, including research results, commercial products and open source solutions lack certain capabilities or suffer from severe usability issues. This paper therefore gives a short review of the state of the art in Web Data Extraction and relates this to the practical application of these technologies.","['Web', 'Data', 'Extraction', 'development', 'practical', 'data', 'user', 'review']"
